"ID","ReleaseDate","Grade","Edition","Name","OfficialJPY","TaxExJPY","OfficialKRW","AppliedMultiplier","DiscrepancyCheck"
"591","2011-08-06","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 DELTA PLUS","5390","4900","70070","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"592","2011-12-24","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 RX-0 FULL ARMOR UNICORN GUNDAM VER. Ka","9680","8800","125840","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"593","2011-10-29","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM SANDROCK EW VER.","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"594","2012-01-28","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM HEAVYARMS EW VER.","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"595","2012-03-24","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 RX-0 UNICORN GUNDAM 2 BANSHEE","6710","6100","87230","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"596","2012-02-25","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM AGE-1 NORMAL","4290","3900","55770","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"597","2012-03-17","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM AGE-1 TITUS","4290","3900","55770","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"598","2012-04-28","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM AGE-1 SPALLOW","3850","3500","50050","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"599","2012-08-11","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM AGE-2 NORMAL","5060","4600","65780","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"6","2013-03-16","HG","?쒖젙/?대읇G (P-Bandai)","HG 1/144 G-XIPHOS","1650","1500","21450","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"60","2017-11-11","HG","?쒖젙/?대읇G (P-Bandai)","HGBC 1/144 24TH CENTURY WEAPONS","660","600","8580","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
